restaurantId,name,city,url,area,category_id
423245,Surya,Giza,https://www.tripadvisor.com/Restaurant_Review-g60763-d423245-Reviews-Surya-New_York_City_New_York.html,Haram,1
423247,Spasso,Mansoura,https://www.tripadvisor.com/Restaurant_Review-g60763-d423247-Reviews-Spasso-New_York_City_New_York.html,El Mansoura Corniche,2
423248,Cafe Loup,Alexandria,https://www.tripadvisor.com/Restaurant_Review-g60763-d423248-Reviews-Cafe_Loup-New_York_City_New_York.html,El Qabary,3
423250,Mamoun's Falafel,Cairo,https://www.tripadvisor.com/Restaurant_Review-g60763-d423250-Reviews-Mamoun_s_Falafel-New_York_City_New_York.html,Nasr City,4
423251,Thalassa,Alexandria,https://www.tripadvisor.com/Restaurant_Review-g60763-d423251-Reviews-Thalassa-New_York_City_New_York.html,Gianaclis,5
423252,Le Gigot,Cairo,https://www.tripadvisor.com/Restaurant_Review-g60763-d423252-Reviews-Le_Gigot-New_York_City_New_York.html,Basateen,6
423253,Tio Pepe,Ismailia,https://www.tripadvisor.com/Restaurant_Review-g60763-d423253-Reviews-Tio_Pepe-New_York_City_New_York.html,El Salam,7
423255,Mooncake Foods,Cairo,https://www.tripadvisor.com/Restaurant_Review-g60763-d423255-Reviews-Mooncake_Foods-New_York_City_New_York.html,Nasr City,8
423257,AQUAGRILL,Aswan,https://www.tripadvisor.com/Restaurant_Review-g60763-d423257-Reviews-AQUAGRILL-New_York_City_New_York.html,Kom Ombo,5
423258,Arturo's,Ismailia,https://www.tripadvisor.com/Restaurant_Review-g60763-d423258-Reviews-Arturo_s-New_York_City_New_York.html,El Salam,9
423264,Palma,Alexandria,https://www.tripadvisor.com/Restaurant_Review-g60763-d423264-Reviews-Palma-New_York_City_New_York.html,Seyouf,10
423266,Babbo Ristorante e Enoteca,Alexandria,https://www.tripadvisor.com/Restaurant_Review-g60763-d423266-Reviews-Babbo_Ristorante_e_Enoteca-New_York_City_New_York.html,El Labban,11
423273,Tartine,Fayyum,https://www.tripadvisor.com/Restaurant_Review-g60763-d423273-Reviews-Tartine-New_York_City_New_York.html,New Fayoum,6
423276,Periyali,Giza,https://www.tripadvisor.com/Restaurant_Review-g60763-d423276-Reviews-Periyali-New_York_City_New_York.html,Haram,12
