NotificationID,User_Id,Message,IsRead,Created_At
1,DF6C1EF430B51271648CE50B7BBD089D,New offer available!,TRUE,9/7/2023
2,922F6916D01CA0185E3CF247E5E0E3FE,Reminder for your booking,TRUE,12/3/2023
3,3B6A651895502B357316DA5B8EDE744A,New offer available!,TRUE,12/30/2023
4,7BEF5B01A9BDE24CECF13568C6B467B7,New offer available!,FALSE,10/31/2023
5,EFB5FAAC228B096DCD23F939A4B71599,New offer available!,TRUE,12/9/2023
6,BB43E9C3B0788FE2BADD705CBECA12DE,Reminder for your booking,FALSE,8/13/2023
7,55E1B6128972FBE34C0B0C307D39F761,Reminder for your booking,TRUE,8/7/2023
8,31C8C4401FE5814A569EED88FA95C241,Reminder for your booking,FALSE,9/3/2023
9,C469A27296A2F31E3AFDDB623F2FF00E,Reminder for your booking,FALSE,1/11/2024
10,5B72F0775017B6854CA71E36A78FE623,Your booking is confirmed!,TRUE,10/22/2023
11,8F07A8583AC6C6838469A4DE95C334E5,New offer available!,TRUE,9/24/2023
12,002D32796D303D877DD15E66DE4E73FB,Reminder for your booking,FALSE,10/1/2023
13,21301A7EE6EC61DE3455486F58DDAAF1,Your booking is confirmed!,TRUE,8/29/2023
14,DE441904D35759AA5ECAEEB13D2CB5DC,Reminder for your booking,TRUE,12/5/2023
15,DBA3AF49F109BDD0728CE7D434BE7227,Reminder for your booking,TRUE,8/19/2023
16,D60C4FBABB55893C335EEE7E7B2A9ECC,Reminder for your booking,FALSE,12/16/2023
17,5CD29B5B7C66C58F35CB57A09B5E38A0,Reminder for your booking,TRUE,10/16/2023
18,0D259FDCBB2CA9B5431243F4479E710B,Your booking is confirmed!,FALSE,12/15/2023
19,743B89310E2230DF3C7117B4A3ABEA62,New offer available!,TRUE,11/6/2023
20,6AA36319008E38A41B33EA5D67D65904,Reminder for your booking,TRUE,9/21/2023
21,248CF444283A27FB358E9BA162C64098,Your booking is confirmed!,TRUE,8/31/2023
22,E7686F23EE6E10B55E0A22FB8207111D,Your booking is confirmed!,TRUE,1/10/2024
23,C7A0281DF4FF27AA85AA1B60DE37309A,Reminder for your booking,TRUE,10/19/2023
24,6D66F2DFCEA6D56F05F216EDEE4E426A,Reminder for your booking,FALSE,8/25/2023
25,1D3B777C47BDC2D929D0E34A70F28263,Your booking is confirmed!,FALSE,1/5/2024
26,EEBC63FFB1A4FEE9828BF0DE7BA11104,New offer available!,TRUE,12/14/2023
27,AF6A314651CD53FB9D5ECF4206DA42C4,Reminder for your booking,FALSE,1/18/2024
28,96EBF5CAFE5E3850FE9B245A52CD93D7,New offer available!,TRUE,1/11/2024
29,FB438DDB53E0B5D64F6EE144039D7AD6,Your booking is confirmed!,TRUE,8/5/2023
30,795AD84AE71DEB48894EAA6EEC5152E0,New offer available!,FALSE,12/10/2023
31,92E1FB0E28D2BD76573BB90EB2886765,New offer available!,FALSE,12/9/2023
32,139F273278904CB446F21A2AB3C742FC,Reminder for your booking,FALSE,12/10/2023
33,6298E596EA4FC8069F9E356C35AB0F20,New offer available!,FALSE,12/18/2023
34,C7B54363BCF39550D6D1AB8022B4C801,Reminder for your booking,FALSE,9/9/2023
35,1DD5AE45D6368F94FD7BD35E5F8D9230,New offer available!,FALSE,11/13/2023
36,7F4C736C3FA87E7F3159829A12E6D935,Your booking is confirmed!,FALSE,10/20/2023
37,3C414A7497CB5116104A90ED249D7EA6,New offer available!,FALSE,11/18/2023
38,DF373B507DF302F66CE0BC0A40DB9A24,Your booking is confirmed!,FALSE,1/15/2024
39,EE3A06CE8B05307704574249097D151E,New offer available!,FALSE,1/25/2024
40,EBAAC5D5DDB478E449BCF9390A165E58,Your booking is confirmed!,FALSE,11/5/2023
41,272B658F235985BE6464095245B99B5E,Your booking is confirmed!,TRUE,8/13/2023
42,594BD92AC9FDBFF8A8CE4847A8ACBE9E,Reminder for your booking,TRUE,11/29/2023
43,BF63A6455D7657CCF19692484A096FEF,New offer available!,TRUE,1/5/2024
44,46988A644DADDEB2962FA1F869DE80CC,Your booking is confirmed!,FALSE,11/5/2023
45,76C70CA6ADEF7225FB8095A626DB0373,Your booking is confirmed!,TRUE,8/26/2023
46,A70CC141A6946E0FB89C99EE1BB3D6B6,Reminder for your booking,FALSE,11/23/2023
47,6572E8C19CAB22AC935D5FAA50EEC3D8,Your booking is confirmed!,FALSE,8/8/2023
48,E1AAA44AD9A3A8488D818E50BB623863,Reminder for your booking,FALSE,10/22/2023
49,4406777332F6D391BE03A975CE5CFCDD,Your booking is confirmed!,FALSE,12/11/2023
50,50573398FB6791F708C37D6EF017CE48,New offer available!,TRUE,1/17/2024
51,329B84D905E77F9BDC245D2B9B45BE19,New offer available!,FALSE,10/24/2023
52,9C3F94C436F581C52D4335C84EE1DCB1,Your booking is confirmed!,TRUE,11/22/2023
53,E9741DA96BB090D7A50EBEF9BCD894B3,New offer available!,FALSE,11/28/2023
54,3C93C31889FC3A51CBC890F2FF460099,New offer available!,FALSE,12/30/2023
55,7363AE4740EC4845CC98950C3036D479,Your booking is confirmed!,TRUE,9/24/2023
56,3F472612291A20885F29D6E10FD1F03B,Reminder for your booking,TRUE,12/7/2023
57,E3493FD2B2A48C38BCCCA6FA8ED0A2D0,New offer available!,FALSE,11/28/2023
58,BAA789FD8B232D680C305DE1E6E4B748,Reminder for your booking,TRUE,1/13/2024
59,420DB75EFF92D3B0BBB50CB22D7EF0CC,Reminder for your booking,TRUE,9/27/2023
60,0F16EC82D55BA24448929EE6735270E8,Reminder for your booking,TRUE,1/6/2024
61,4227B5D37E23DB95B5DE222B23A6880A,Reminder for your booking,TRUE,1/18/2024
62,C88ABF2DDFEB99B7F207160A3D536BFD,Reminder for your booking,FALSE,11/15/2023
63,2489E81CBF0AB4C4AC2501E845597361,New offer available!,FALSE,1/4/2024
64,CF0AA3EA8AB696757D1481A0C59BDC56,Reminder for your booking,FALSE,1/13/2024
65,92AFEC067BB8BD9443E7B25CD7AFAAA4,Your booking is confirmed!,FALSE,1/18/2024
66,3D7391704F8D3800FBF9E5802798D20E,New offer available!,FALSE,10/4/2023
67,6F2396F42F01E12C11859ECF0F500936,Your booking is confirmed!,FALSE,10/10/2023
68,205C2155231DB5BF3ED3A67B2E81F377,New offer available!,FALSE,9/7/2023
69,719234F770BEEB5E7181ED50722CFFEB,Your booking is confirmed!,TRUE,11/29/2023
70,39AE1305CC37E98DD39E5CEB1A8C8627,Your booking is confirmed!,FALSE,9/10/2023
71,756D1173CB75004F44A8A4B6FC885115,New offer available!,FALSE,8/4/2023
72,284E8947E462874F476BA6201F8CF17E,New offer available!,TRUE,8/19/2023
73,DE77D3A2B67B50DFD33F222EFF7EB1A0,New offer available!,FALSE,1/6/2024
74,EAFBAFAB76DB32E584C20F0C331B5DC4,Reminder for your booking,TRUE,9/15/2023
75,BB62A947F362D488B144D6DC5FFDB6A9,New offer available!,FALSE,1/7/2024
76,B7ABC65E7D226C0CBEEB1720B4639C73,New offer available!,TRUE,9/4/2023
77,663FDD5874E9E572C9756DAE139136D1,Reminder for your booking,TRUE,12/16/2023
78,46D6610953B2AAB3D44BEDB1F8BF8C89,Reminder for your booking,TRUE,12/28/2023
79,9A9DE4616D128647FE3E276AE5047DC4,Your booking is confirmed!,TRUE,12/25/2023
80,D97DAA89B094EDEC731D53A8582401BD,New offer available!,FALSE,1/3/2024
81,F42609BE52E3E3EA012794CF8B016866,Your booking is confirmed!,TRUE,12/31/2023
82,098937B4F8C519BDECDCCC7E6EBA34B5,Reminder for your booking,FALSE,9/17/2023
83,DB26CD5556CCE471E3868548EE575F93,New offer available!,FALSE,11/11/2023
84,EBACFF15C5B56E24A4DC600C38586E0F,Your booking is confirmed!,FALSE,11/20/2023
85,8FB640E4D638110E6F324796DF28CE0D,Your booking is confirmed!,FALSE,8/26/2023
86,FBACCA6C348D03226045642F8639F041,Reminder for your booking,TRUE,10/13/2023
87,D984AFBA79A6E57F738F4E8747070BA1,Reminder for your booking,TRUE,8/5/2023
88,8B15383500086713EB39CD9507B95856,Your booking is confirmed!,FALSE,1/12/2024
89,A73052B3F68036EC328B5440DA4E15CA,Your booking is confirmed!,FALSE,12/9/2023
90,AF5190415CD172D41B3D60C5444EC231,Your booking is confirmed!,FALSE,12/31/2023
91,868673FDA192E2D86C15F31DA15C8517,Reminder for your booking,TRUE,10/11/2023
92,414F966198FAFB173A8140CB931A0A31,Your booking is confirmed!,TRUE,8/13/2023
93,39AC794C5D9CD711D125AC5C0B94B968,Reminder for your booking,TRUE,12/4/2023
94,CE64D7FADB7B630A33E5BC234F964024,Reminder for your booking,TRUE,1/3/2024
95,E707E4CA8E8D93C8B9DC6AB935A4C011,New offer available!,FALSE,10/28/2023
96,3403B272EED243F1C90412E9412438D7,Your booking is confirmed!,FALSE,8/31/2023
97,F530415976102F3DB6E26D488AD8626F,New offer available!,TRUE,10/15/2023
98,B49DE622FC8CA3D619E3CED2B35E7792,New offer available!,FALSE,9/30/2023
99,568BAFD8437E02A1B4B30FEC7B018D1C,Your booking is confirmed!,TRUE,1/27/2024
100,F1FF0F79311C741198C5535B3B1CDC21,Reminder for your booking,FALSE,9/12/2023
101,6C68FF0E731994EFCC38880A31700B02,Reminder for your booking,FALSE,9/29/2023
102,BB02F30AAB53387B7A4D9994DC035E00,New offer available!,FALSE,11/22/2023
103,22658F333BC60CAB7A5408F68804CA54,Your booking is confirmed!,FALSE,9/2/2023
104,B38B9BD3238B5BB6A7D0EC81E75DEC00,New offer available!,FALSE,1/27/2024
105,14D0E3413950B00FD7CF08FF57D97A66,New offer available!,TRUE,11/28/2023
106,229CFF1E3E1FF381C67808DA41C718F6,Your booking is confirmed!,TRUE,11/14/2023
107,B89D4E540361D1E82278A4C9BA1C306B,Reminder for your booking,TRUE,12/11/2023
